Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,9.33,9.33,9.33,9.33,000,9.33
2017-01-26,9.27,9.34,9.26,9.33,42071200,9.33
2017-01-25,9.27,9.28,9.25,9.26,30440100,9.26
2017-01-24,9.23,9.28,9.20,9.27,47024400,9.27
2017-01-23,9.22,9.26,9.20,9.22,42029900,9.22
2017-01-20,9.17,9.23,9.17,9.22,39332800,9.22
2017-01-19,9.15,9.24,9.15,9.18,43771200,9.18
2017-01-18,9.14,9.19,9.13,9.17,57426900,9.17
2017-01-17,9.12,9.16,9.10,9.15,54555200,9.15
2017-01-16,9.15,9.16,9.07,9.14,68316500,9.14
2017-01-13,9.14,9.19,9.12,9.16,43430100,9.16
2017-01-12,9.13,9.17,9.13,9.15,42800600,9.15
2017-01-11,9.14,9.17,9.13,9.14,30343000,9.14
2017-01-10,9.15,9.16,9.14,9.15,24105300,9.15
2017-01-09,9.13,9.17,9.11,9.15,36108100,9.15
2017-01-06,9.17,9.17,9.11,9.13,35815400,9.13
2017-01-05,9.17,9.18,9.15,9.17,34437200,9.17
2017-01-04,9.15,9.18,9.14,9.16,44932900,9.16
2017-01-03,9.11,9.18,9.09,9.16,45984000,9.16
2017-01-02,9.10,9.10,9.10,9.10,000,9.10
2016-12-30,9.08,9.10,9.06,9.10,30260700,9.10
2016-12-29,9.07,9.09,9.05,9.08,33875800,9.08
2016-12-28,9.08,9.11,9.04,9.06,33605500,9.06
2016-12-27,9.12,9.13,9.07,9.08,26884100,9.08
2016-12-26,9.05,9.13,9.02,9.12,30205800,9.12
2016-12-23,9.14,9.14,9.07,9.08,38291200,9.08
2016-12-22,9.15,9.16,9.11,9.14,34134100,9.14
2016-12-21,9.12,9.16,9.11,9.16,36992000,9.16
2016-12-20,9.20,9.20,9.08,9.11,63663800,9.11
2016-12-19,9.22,9.23,9.17,9.20,49401000,9.20
2016-12-16,9.24,9.29,9.21,9.25,39681300,9.25
2016-12-15,9.37,9.41,9.21,9.25,82761200,9.25
2016-12-14,9.42,9.51,9.40,9.40,59770500,9.40
2016-12-13,9.48,9.50,9.33,9.42,64577100,9.42
2016-12-12,9.65,9.77,9.44,9.50,125687400,9.50
2016-12-09,9.50,9.75,9.48,9.65,151419900,9.65
2016-12-08,9.50,9.55,9.43,9.52,67145200,9.52
2016-12-07,9.48,9.49,9.41,9.48,49340400,9.48
2016-12-06,9.48,9.52,9.45,9.49,60290200,9.49
2016-12-05,9.50,9.54,9.41,9.46,76436500,9.46
2016-12-02,9.60,9.60,9.44,9.55,82968600,9.55
2016-12-01,9.57,9.63,9.55,9.60,64600400,9.60
2016-11-30,9.65,9.72,9.50,9.55,102596300,9.55
2016-11-29,9.59,9.70,9.55,9.62,88777900,9.62
2016-11-28,9.69,9.78,9.60,9.63,127968900,9.63
2016-11-25,9.48,9.62,9.46,9.62,101367500,9.62
2016-11-24,9.44,9.52,9.42,9.47,77974800,9.47
2016-11-23,9.34,9.56,9.34,9.45,175286900,9.45
2016-11-22,9.24,9.36,9.23,9.36,118025700,9.36
2016-11-21,9.18,9.28,9.17,9.24,85024300,9.24
2016-11-18,9.21,9.21,9.16,9.18,51759700,9.18
2016-11-17,9.22,9.22,9.18,9.21,50532400,9.21
2016-11-16,9.23,9.24,9.20,9.23,41584200,9.23
2016-11-15,9.20,9.24,9.18,9.23,55434300,9.23
2016-11-14,9.16,9.25,9.16,9.22,97507800,9.22
2016-11-11,9.14,9.18,9.11,9.18,81226900,9.18
2016-11-10,9.10,9.16,9.10,9.14,63199800,9.14
2016-11-09,9.14,9.14,9.01,9.07,72261600,9.07
2016-11-08,9.12,9.15,9.10,9.15,80669500,9.15
2016-11-07,9.10,9.12,9.07,9.12,49724000,9.12
2016-11-04,9.11,9.17,9.10,9.11,50811700,9.11
2016-11-03,9.06,9.14,9.05,9.13,61687100,9.13
2016-11-02,9.14,9.14,9.05,9.07,63358600,9.07
2016-11-01,9.14,9.16,9.11,9.14,52541500,9.14
2016-10-31,9.15,9.16,9.09,9.15,49359600,9.15
2016-10-28,9.16,9.23,9.14,9.17,54199700,9.17
2016-10-27,9.16,9.17,9.12,9.16,32414000,9.16
2016-10-26,9.22,9.22,9.13,9.15,44045200,9.15
2016-10-25,9.25,9.26,9.18,9.21,50075200,9.21
2016-10-24,9.13,9.30,9.12,9.24,91567700,9.24
2016-10-21,9.08,9.13,9.06,9.13,68389600,9.13
2016-10-20,9.08,9.09,9.05,9.07,34284400,9.07
2016-10-19,9.09,9.11,9.05,9.08,48263600,9.08
2016-10-18,9.03,9.09,9.03,9.09,59373700,9.09
2016-10-17,9.08,9.09,9.03,9.05,35922300,9.05
2016-10-14,9.06,9.09,9.04,9.09,33541100,9.09
2016-10-13,9.08,9.11,9.05,9.07,63236700,9.07
2016-10-12,9.14,9.16,9.12,9.13,27031600,9.13
2016-10-11,9.13,9.15,9.11,9.15,36337000,9.15
2016-10-10,9.10,9.17,9.08,9.12,61138100,9.12
2016-10-07,9.07,9.07,9.07,9.07,000,9.07
2016-10-06,9.07,9.07,9.07,9.07,000,9.07
2016-10-05,9.07,9.07,9.07,9.07,000,9.07
2016-10-04,9.07,9.07,9.07,9.07,000,9.07
2016-10-03,9.07,9.07,9.07,9.07,000,9.07
2016-09-30,9.06,9.10,9.05,9.07,30808400,9.07
2016-09-29,9.05,9.08,9.05,9.06,30366400,9.06
2016-09-28,9.06,9.06,9.03,9.05,27136600,9.05
